"SET_PREFIX","SET_POSTFIX","SET_NAME","SET_YEAR","SET_THEME","NUMBER_OF_PARTS"
"10150","1","ASSORTED BROWN PLATES",2004,"254",42
"10151","1","HOT ROD",2004,"278",420
"10152","1","MAERSK SEALAND CONTAINER SHIP 2004 EDITION",2004,"276",982
"10152","2","MAERSK SEALAND CONTAINER SHIP 2005 EDITION",2005,"276",982
"10152","3","MAERSK LINE CONTAINER SHIP 2006 EDITION",2006,"276",982
"10153","1","ELECTRIC TRAIN MOTOR 9V (MY OWN TRAIN)",2002,"244",3
"10155","1","MAERSK LINE CONTAINER SHIP 2010 EDITION",2010,"276",984
"10156","1","LEGO TRUCK",2004,"85",105
"10157","1","HIGH SPEED TRAIN LOCOMOTIVE",2004,"239",134
"10158","1","HIGH SPEED TRAIN CAR",2004,"239",151
"10159","1","CITY AIRPORT -CITY LOGO BOX",2004,"53",913
"10159","2","CITY AIRPORT -FULL SIZE IMAGE BOX",2004,"68",913
"10160","1","BLACK RIDGE ROOF TILES",2004,"254",48
"10161","1","BLACK ROOF TILES",2004,"254",76
"10162","1","RED RIDGE TILES",2004,"254",48
"10163","1","RED ROOF TILES",2004,"254",76
"10165","1","ELF BOY",2004,"227",27
"10166","1","ELF GIRL",2004,"227",31
"10167","1","BRICKMASTER KIT (WITH DIGITAL DESIGNER CD)",2004,"301",182
"10168","1","MRS. BUNNY",2005,"229",64
"10169","1","CHICKEN & CHICKS",2005,"229",60
"10170","1","TTX INTERMODAL DOUBLE-STACK CAR",2005,"236",365
"10173","1","HOLIDAY TRAIN",2006,"236",969
"10174","1","IMPERIAL AT-ST - UCS",2006,"174",1070
"10175","1","VADER'S TIE ADVANCED - UCS",2006,"174",1211
"10176","1","ROYAL KING'S CASTLE",2006,"197",871
"10177","1","BOEING 787 DREAMLINER",2006,"276",1196
"10178","1","MOTORIZED WALKING AT-AT",2007,"169",1137
"10179","1","MILLENNIUM FALCON - UCS",2007,"174",5195
"10181","1","EIFFEL TOWER 1:300 SCALE",2007,"276",3428
"10182","1","CAFE CORNER",2007,"155",2058
"10183","1","HOBBY TRAIN",2007,"397",1080
"10184","1","TOWN PLAN",2008,"104",2017
"10185","1","GREEN GROCER",2008,"155",2358
"10186","1","GENERAL GRIEVOUS",2008,"173",1084
"10187","1","VOLKSWAGEN BEETLE (VW BEETLE)",2008,"276",1625
"10188","1","DEATH STAR",2008,"174",3807
"10189","1","TAJ MAHAL",2008,"276",5922
"10190","1","MARKET STREET",2007,"155",1250
"10191","1","STAR JUSTICE",2008,"397",884
"10192","1","SPACE SKULLS",2008,"397",956
"10193","1","MEDIEVAL MARKET VILLAGE",2009,"193",1616
"10194","1","EMERALD NIGHT",2009,"240",1089
"10195","1","REPUBLIC DROPSHIP WITH AT-OT",2009,"165",1757
"10196","1","GRAND CAROUSEL",2009,"276",3260
"10197","1","FIRE BRIGADE",2009,"155",2236
"10198","1","TANTIVE IV",2009,"169",1408
"10199","1","WINTER TOY SHOP",2009,"227",815
"10","2","UNIVERSAL BUILDING SET",1976,"469",129
"10200","1","CUSTOM CAR GARAGE",2008,"397",893
"10201","1","TAKUTANUVA",2003,"347",3
"10202","1","ULTIMATE DUME (LIMITED EDITION WITH EXCLUSIVE MASK OF POWER)",2004,"347",6
"10202","2","ULTIMATE DUME",2004,"347",3
"10203","1","VOPORAK",2005,"347",3
"10204","1","VEZON & KARDAS",2006,"347",3
"10205","1","LOCOMOTIVE",2002,"238",231
"102","1","4.5V MOTOR SET",1968,"243",24
"10210","1","IMPERIAL FLAGSHIP",2010,"153",1623
"10211","1","GRAND EMPORIUM",2010,"155",2186
"10212","1","IMPERIAL SHUTTLE - UCS",2010,"174",2502
"10213","1","SHUTTLE ADVENTURE",2010,"276",1203
"10213sup","1","SUPPLEMENTAL PACK FOR SHUTTLE ADVENTURE SET 10213",2010,"443",29
"10214","1","TOWER BRIDGE",2010,"276",4295
"10215","1","OBI-WAN'S JEDI STARFIGHTER - UCS",2010,"175",675
"10216","1","WINTER VILLAGE BAKERY",2010,"227",686
"10217","1","DIAGON ALLEY",2011,"246",2031
"10218","1","PET SHOP",2011,"155",2034
"10219","1","MAERSK CONTAINER TRAIN",2011,"240",1232
"10220","1","VOLKSWAGEN T1 CAMPER VAN",2011,"276",1333
"10221","1","SUPER STAR DESTROYER",2011,"174",3151
"10222","1","WINTER VILLAGE POST OFFICE",2011,"227",821
"10223","1","KINGDOMS JOUST",2012,"196",1574
"10224","1","TOWN HALL",2012,"155",2771
"10225","1","R2-D2",2012,"171",2130
"10226","1","SOPWITH CAMEL",2012,"276",877
"10227","1","B-WING STARFIGHTER",2012,"174",1484
"10228","1","HAUNTED HOUSE",2012,"558",2062
"10229","1","WINTER VILLAGE COTTAGE",2012,"227",1490
"10230","1","MINI MODULARS",2012,"156",1358
"10231","1","SHUTTLE EXPEDITION",2011,"276",1229
"10232","1","PALACE CINEMA",2013,"155",2192
"10233","1","HORIZON EXPRESS",2013,"240",1349
"10234","1","SYDNEY OPERA HOUSE",2013,"276",2988
"10235","1","WINTER VILLAGE MARKET [INITIAL RELEASE]",2013,"227",1259
"10236","1","EWOK VILLAGE",2013,"169",2023
"10237","1","THE TOWER OF ORTHANC",2013,"568",2360
"10240","1","RED FIVE X-WING STARFIGHTER",2013,"174",1573
"10241","1","MAERSK LINE TRIPLE-E",2014,"38",1515
"10242","1","MINI COOPER",2014,"22",1074
"10242","2","MINI COOPER",2015,"22",1076
"10243","1","PARISIAN RESTAURANT",2014,"155",2469
"10244","1","FAIRGROUND MIXER",2014,"22",1743
"10245","1","SANTA’S WORKSHOP",2014,"228",882
"1024601","1","ADVENTURERS VALUE PACK (TRU EXCLUSIVE)",2001,"297",3
"10246","1","DETECTIVE’S OFFICE",2015,"155",2261
"10247","1","FERRIS WHEEL",2015,"22",2463
"10248","1","FERRARI F40",2015,"22",1157
"10249","1","WINTER TOY SHOP",2015,"227",895
"10250","1","YEAR OF THE SNAKE",2013,"22",244
"10251","1","BRICK BANK",2016,"155",2383
"10252","1","VOLKSWAGEN BEETLE",2016,"22",1166
"10253","1","BIG BEN",2016,"43",4166
"10254","1","WINTER HOLIDAY TRAIN",2016,"227",737
"10255","1","ASSEMBLY SQUARE",2017,"155",4009
"10257","1","CAROUSEL",2017,"22",2669
"10285","1","COMPASS SENSOR FOR MINDSTORMS NXT",2011,"259",1
"10287","1","INTELLIGENT NXT BRICK (BLACK)",2009,"259",1
"1029","1","MILK DELIVERY TRUCK - TINE",1999,"75",90
"102A","1","FRONT-END LOADER",1970,"416",64
"102A","2","FRONT-END LOADER",1970,"416",56
"10","3","LOCOMOTIVE WHEELS",1977,"456",8
"1030","1","TECHNIC I: SIMPLE MACHINES SET",1985,"1",189
"103","1","4.5V MOTOR SET WITH RUBBER TRACKS",1969,"473",24
"1031","1","BUILDING CARDS - 1030",1983,"532",20
"1032","1","TECHNIC II SET {4.5V}",1985,"1",278
"1033","1","BUILDING CARDS - 1032",1985,"532",20
"1034","1","TEACHERS RESOURCE SET",1985,"532",1534
"1038","1","ERBIE THE ROBO-CAR",1985,"1",120
"1039","1","MANUAL CONTROL SET 1",1986,"1",39
"104","1","REPLACEMENT 4.5V MOTOR",1970,"243",1
"1045","2","EDUCATIONAL LEGO BUILDING SET",1976,"511",683
"1049","1","SHIPS - 247 ELEMENTS AND 1 POSTER",1985,"510",238
"10500","1","HORSE STABLE",2013,"504",44
"10501","1","ZOO FRIENDS",2013,"504",5
"10504","1","MY FIRST CIRCUS",2013,"504",62
"10505","1","PLAY HOUSE",2013,"504",83
"10506","1","TRAIN ACCESSORY SET",2013,"504",24
"10507","1","MY FIRST TRAIN SET",2013,"504",52
"10508","1","DELUXE TRAIN SET",2013,"504",134
"10509","1","DUSTY AND CHUG",2013,"504",16
"105","1","CANADA POST TRUCK",1984,"81",65
"10510","1","RIPSLINGER'S AIR RACE",2013,"504",40
"10511","1","SKIPPER'S FLIGHT SCHOOL",2013,"504",49
"10512","1","JAKE'S TREASURE HUNT",2013,"504",22
"10513","1","NEVER LAND HIDEOUT",2013,"504",37
"10514","1","JAKE'S PIRATE SHIP BUCKY",2013,"504",56
"10515","1","ARIEL'S UNDERSEA CASTLE",2013,"504",39
"10516","1","ARIEL'S MAGICAL BOAT RIDE",2012,"504",29
"10517","1","MY FIRST GARDEN",2013,"504",37
"10518","1","MY FIRST CONSTRUCTION SITE",2013,"504",47
"105","2","BUILDING SET",1973,"469",150
"10520","1","BIG FRONT LOADER",2013,"504",12
"10521","1","BABY CALF",2014,"504",9
"10522","1","FARM ANIMALS",2014,"504",12
"10524","1","FARM TRACTOR",2014,"504",29
"10525","1","BIG FARM",2014,"504",121
"10526","1","PETER PAN'S VISIT",2014,"504",39
"10527","1","AMBULANCE",2014,"504",14
"10528","1","SCHOOL BUS",2014,"504",26
"10529","1","TRUCK",2014,"504",16
"1053","1","COMMUNITY BUILDINGS",1984,"533",895
"10531","1","MICKEY MOUSE AND FRIENDS",2012,"504",65
"10532","1","MY FIRST POLICE SET",2014,"504",39
"10538","1","FIRE AND RESCUE TEAM",2014,"506",30
"10539","1","BEACH RACING",2014,"504",36
"1054","1","STENA LINE FERRY",1999,"471",211
"10542","1","SLEEPING BEAUTY'S FAIRY TALE",2014,"579",55
"10543","1","SUPERMAN™ RESCUE",2014,"504",19
"10544","1","THE JOKER CHALLENGE",2014,"504",40
"10545","1","BATCAVE ADVENTURE",2014,"504",59
"10546","1","MY FIRST SHOP",2014,"504",39
"10550","1","CIRCUS TRANSPORT",2013,"504",9
"10552","1","CREATIVE CARS",2013,"504",42
"10553","1","TODDLER BUILD AND PLAY CUBES",2013,"505",17
"10554","1","TODDLER BUILD AND PULL ALONG",2013,"505",15
"10555","1","CREATIVE BUCKET",2013,"505",65
"10557","1","GIANT TOWER",2013,"504",200
"10558","1","NUMBER TRAIN",2013,"504",31
"1056","1","BASIC SCHOOL PACK - 773 ELEMENTS WITH TEACHER'S MANUAL",1985,"534",785
"10561","1","TODDLER STARTER BUILDING SET",2013,"505",37
"10565","1","LEGO® DUPLO® CREATIVE SUITCASE",2014,"504",135
"10566","1","CREATIVE PICNIC",2014,"504",52
"10567","1","TODDLER BUILD AND BOAT FUN",2014,"504",18
"10568","1","KNIGHT TOURNAMENT",2014,"504",16
"10569","1","TREASURE ATTACK",2014,"504",46
"10570","1","LEGO® DUPLO® ALL-IN-ONE-GIFT-SET",2014,"504",30
"10571","1","ALL-IN-ONE-PINK-BOX-OF-FUN",2014,"504",65
"10572","1","ALL-IN-ONE-BOX-OF-FUN",2014,"504",65
"10573","1","CREATIVE ANIMALS",2014,"504",25
"10574","1","CREATIVE ICE CREAM",2014,"504",23
"10575","1","DUPLO CREATIVE BUILDING CUBE",2014,"504",75
"10576","1","ZOO CARE",2014,"504",9
"10577","1","BIG ROYAL CASTLE",2014,"504",135
"10579","1","CLUBHOUSE CAFÉ",2014,"504",16
"10580","1","DELUXE BOX OF FUN",2014,"504",95
"10581","1","FOREST: DUCKS",2015,"504",13
"10582","1","FOREST: ANIMALS",2015,"504",39
"10583","1","FOREST: FISHING TRIP",2015,"504",30
"10584","1","FOREST: PARK",2015,"504",102
"10585","1","MOM AND BABY",2015,"504",13
"10586","1","ICE CREAM TRUCK",2015,"504",11
"10587","1","CAFÉ",2015,"504",51
"10589","1","RALLY CAR",2015,"504",13
"10590","1","AIRPORT",2015,"504",29
"10591","1","FIRE BOAT",2015,"504",19
"10592","1","FIRE TRUCK",2015,"504",26
"10593","1","FIRE STATION",2015,"504",104
"10594","1","SOFIA THE FIRST™ ROYAL STABLE",2015,"504",38
"10595","1","SOFIA THE FIRST™ ROYAL CASTLE",2015,"504",87
"10596","1","DISNEY PRINCESS™ COLLECTION",2015,"504",63
"10597","1","MICKEY & MINNIE BIRTHDAY PARADE",2015,"504",24
"10599","1","BATMAN ADVENTURE",2015,"504",46
"10600","1","DISNEY • PIXAR CARS™ CLASSIC RACE",2015,"506",29
"1060","1","ROAD PLATES AND SIGNS",1981,"533",30
"10601","1","DELIVERY VEHICLE",2015,"504",19
"10602","1","CAMPING",2015,"504",37
"10603","1","MY FIRST BUS",2015,"504",17
"10604","1","JAKE AND THE NEVER LAND PIRATES TREASURE ISLAND",2015,"504",25
"10605","1","DOC MCSTUFFINS ROSIE THE AMBULANCE",2015,"504",16
"10606","1","DOC MCSTUFFINS BACKYARD CLINIC",2015,"504",39
"10607","1","SPIDER-MAN WEB-BIKE WORKSHOP",2015,"504",13
"10608","1","SPIDER-MAN SPIDER TRUCK ADVENTURE",2015,"504",28
"106","1","UNICEF VAN",1985,"79",59
"1061","1","SINGLE DISK PACK",2000,"20",1
"10615","1","MY FIRST TRACTOR",2015,"504",12
"10616","1","MY FIRST PLAYHOUSE",2015,"504",25
"10617","1","MY FIRST FARM",2015,"504",26
"10618","1","LEGO® DUPLO® CREATIVE BUILDING BOX",2015,"504",69
"1062","1","{TOWN VEHICLES}",1980,"533",158
"10622","1","LARGE CREATIVE BOX",2015,"504",193
"10623","1","BASIC BRICKS – LARGE",2015,"505",0
"1063","1","COMMUNITY WORKERS",1985,"533",169
"1064","1","DACTA BUILDINGS",1981,"533",0
"1065","1","HOUSE ACCESSORIES - 182 ELEMENTS",1985,"534",196
"10654","1","XL CREATIVE BRICK BOX",2016,"365",1599
"10655","1","MONSTER TRUCKS",2013,"37",197
"10656","1","MY FIRST LEGO PRINCESS",2013,"22",88
"10657","1","MY FIRST LEGO SET",2013,"37",148
"10659","1","BLUE SUITCASE",2013,"37",152
"10660","1","PINK SUITCASE",2013,"37",157
"1066","1","36 LITTLE PEOPLE + ACCESSORIES",1982,"533",174
"10661","1","MY FIRST LEGO FIRE STATION",2013,"22",90
"10662","1","LEGO CREATIVE BUCKET",2013,"37",607
"10663","1","LEGO CREATIVE CHEST",2013,"22",607
"10664","1","CREATIVE TOWER",2013,"22",1599
"10665","1","SPIDER-MAN: SPIDER-CAR PURSUIT",2014,"591",55
"10666","1","DIGGER",2014,"591",75
"10667","1","CONSTRUCTION",2014,"591",159
"10668","1","THE PRINCESS PLAY CASTLE",2014,"591",149
"10669","1","TURTLE LAIR",2014,"591",107
"1067","1","COMMUNITY VEHICLES",1988,"507",251
"10671","1","FIRE EMERGENCY",2014,"591",123
"10672","1","BATMAN: DEFEND THE BATCAVE",2014,"591",150
"10673","1","RACE CAR RALLY",2014,"591",349
"10674","1","PONY FARM",2014,"591",305
"10675","1","POLICE – THE BIG ESCAPE",2014,"591",146
"10676","1","KNIGHTS’ CASTLE",2014,"591",479
"10677","1","BEACH EXCURSION",2015,"591",74
"10679","1","PIRATE TREASURE HUNT",2015,"591",57
"10680","1","GARBAGE TRUCK",2015,"591",99
"1068","1","AIR PATROL",1999,"87",20
"10681","1","CREATIVE BUILDING CUBE",2014,"37",599
"10682","1","CREATIVE SUITCASE",2014,"37",1016
"10683","1","ROAD WORK TRUCK",2015,"591",132
"10684","1","SUPERMARKET SUITCASE",2015,"591",132
"10685","1","FIRE SUITCASE",2015,"591",113
"10686","1","FAMILY HOUSE",2015,"591",226
"10687","1","SPIDER-MAN™ HIDEOUT",2015,"591",137
"1069","1","SPEEDBOAT",1999,"77",22
"10692","1","CREATIVE BRICKS",2015,"366",220
"10693","1","CREATIVE SUPPLEMENT",2015,"366",302
"10693","1-s1","ROCKET",2015,"365",12
"10694","1","CREATIVE SUPPLEMENT BRIGHT",2015,"366",302
"10695","1","CREATIVE BUILDING BOX",2015,"366",579
"10696","1","MEDIUM CREATIVE BRICK BOX",2015,"366",483
"10697","1","XXXL BOX",2015,"365",1499
"10698","1","LARGE CREATIVE BRICK BOX",2015,"366",789
"10699","1","SAND BASEPLATE",2015,"365",1
"10700","1","GREEN BASEPLATE",2015,"365",1
"1070","1","STUNT FLYER",1999,"87",20
"10701","1","GRAY BASEPLATE",2015,"365",1
"10702","1","CREATIVE BUILDING SET",2016,"365",582
"10703","1","CREATIVE BUILDER BOX",2017,"365",499
"10704","1","CREATIVE BOX",2017,"365",900
"10705","1","CREATIVE BUILDING BASKET",2016,"366",999
"10706","1","BLUE CREATIVE BOX",2017,"365",78
"10707","1","RED CREATIVE BOX",2017,"365",55
"10708","1","GREEN CREATIVE BOX",2017,"365",66
"10709","1","ORANGE CREATIVE BOX",2017,"365",60
"107","1","4.5V MOTOR SET",1976,"473",31
"107","2","CANADA POST MAIL TRUCK",1985,"81",138
"10720","1","POLICE HELICOPTER CHASE",2016,"591",63
"10721","1","IRON MAN VS LOKI",2016,"591",66
"10722","1","SNAKE SHOWDOWN",2016,"591",92
"10723","1","ARIEL'S DOLPHIN CARRIAGE",2016,"591",70
"10724","1","BATMAN & SUPERMAN VS. LEX LUTHOR",2016,"482",164
"10725","1","LOST TEMPLE",2016,"591",171
"10726","1","STEPHANIE'S HORSE CARRIAGE",2016,"496",58
"10727","1","EMMA'S ICE CREAM TRUCK",2016,"494",136
"10728","1","MIA'S VET CLINIC",2016,"494",182
"10729","1","CINDERELLA'S CARRIAGE",2016,"591",116
"10734","1","DEMOLITION SITE",2017,"591",162
"10735","1","POLICE TRUCK CHASE",2017,"591",90
"10736","1","ANNA & ELSA'S FROZEN PLAYGROUND",2017,"591",94
"10737","1","BATMAN VS. MR. FREEZE",2017,"591",63
"10740","1","FIRE PATROL SUITCASE",2017,"591",108
"10746","1","MIA'S FARM SUITCASE",2017,"591",104
"10747","1","ANDREA AND STEPHANIE'S BEACH HOLIDAY",2017,"591",141
"1075","1","LEGO PEOPLE SUPPLEMENTARY SET",1980,"511",256
"1076","1","ADVENT CALENDAR 1999",1999,"207",228
"1076","10","ADVENT CALENDAR 1999 (DAY  9) FIRE ENGINE",1999,"217",10
"1076","11","ADVENT CALENDAR 1999 (DAY 10) SANTA MINIFIG",1999,"217",5
"1076","12","ADVENT CALENDAR 1999 (DAY 11) DOG",1999,"217",8
"1076","13","ADVENT CALENDAR 1999 (DAY 12) HIPPO",1999,"217",9
"1076","14","ADVENT CALENDAR 1999 (DAY 13) HOVERCRAFT",1999,"217",10
"1076","15","ADVENT CALENDAR 1999 (DAY 14) PENGUIN",1999,"217",8
"1076","16","ADVENT CALENDAR 1999 (DAY 15) ELF",1999,"217",12
"1076","17","ADVENT CALENDAR 1999 (DAY 16) SEAPLANE",1999,"217",10
"1076","18","ADVENT CALENDAR 1999 (DAY 17) GENTLEMAN",1999,"217",10
"1076","19","ADVENT CALENDAR 1999 (DAY 18) ELEPHANT",1999,"217",10
"1076","2","ADVENT CALENDAR 1999 (DAY  1) PLANE",1999,"217",11
"1076","20","ADVENT CALENDAR 1999 (DAY 19) SEA PLANE",1999,"217",8
"1076","21","ADVENT CALENDAR 1999 (DAY 20) COW",1999,"217",10
"1076","22","ADVENT CALENDAR 1999 (DAY 21) POLICE CAR",1999,"217",11
"1076","23","ADVENT CALENDAR 1999 (DAY 22) DOG WITH RED HAT",1999,"217",12
"1076","24","ADVENT CALENDAR 1999 (DAY 23) POLICE HELICOPTER",1999,"217",10
"1076","25","ADVENT CALENDAR 1999 (DAY 24) SANTA",1999,"217",11
"1076","3","ADVENT CALENDAR 1999 (DAY  2) SNOWMAN",1999,"217",11
"1076","4","ADVENT CALENDAR 1999 (DAY  3) SPEEDBOAT",1999,"217",7
"1076","5","ADVENT CALENDAR 1999 (DAY  4) GIRL",1999,"217",8
"1076","6","ADVENT CALENDAR 1999 (DAY  5) SAILBOAT",1999,"217",9
"1076","7","ADVENT CALENDAR 1999 (DAY  6) REINDEER",1999,"217",12
"1076","8","ADVENT CALENDAR 1999 (DAY  7) PLANE",1999,"217",10
"1076","9","ADVENT CALENDAR 1999 (DAY  8) GIRL",1999,"217",8
"1077","1","SUPPLEMENTARY SET",1976,"528",170
"10801","1","BABY ANIMALS",2016,"504",13
"10802","1","SAVANNA",2016,"504",15
"10803","1","ARCTIC",2016,"504",32
"10804","1","JUNGLE",2016,"504",86
"10805","1","AROUND THE WORLD",2016,"504",148
"10806","1","HORSES",2016,"504",20
